#{"t_start": 1525892454.660609, "env_id": "Hopper-v1"}
r,l,t
971.173015,295,232.244817
912.147795,274,233.373312
1276.982094,390,233.722101
1053.781096,323,234.012647
1137.677838,360,234.332903
694.388591,216,234.526435
837.75829,288,234.782833
1131.233535,335,236.516375
1284.105408,388,236.862988
1225.57176,370,237.193763
1179.782098,358,237.51158
453.848934,153,237.647957
875.531132,273,237.893292
1253.510188,380,238.232228
1080.792536,324,239.392765
1500.879173,467,239.808477
824.208271,271,240.051927
898.848339,299,240.31832
1314.996022,409,240.682233
1177.917753,360,241.882607
701.690053,243,242.099928
1487.56215,442,242.508761
1249.169974,376,242.843549
918.61077,298,243.110053
995.964547,301,243.378685
639.813436,205,243.560691
936.065258,307,244.703774
1222.015789,370,245.034134
1236.554233,392,245.386274
1513.763748,470,245.806632
1243.542236,379,246.145867
1380.492476,423,247.392741
1446.120186,420,247.766222
1238.609998,382,248.107591
1012.0237,309,248.387161
1052.479149,313,248.665123
1426.089143,425,249.046122
1385.302001,405,250.276556
1276.178656,387,250.621523
1162.228783,366,250.948457
1587.322161,469,251.367073
1262.946546,379,251.703826
1534.877692,469,253.014461
1312.008432,396,253.366966
